Age,AnnualIncome,AverageTransactionValue,DiscountSensitivity,ShoppingFrequency
41,95172,50,Medium,Occasional
37,67442,980,Medium,Frequent
40,67783,1557,Medium,Occasional
48,58937,2678,Medium,Occasional
46,84471,682,Medium,Frequent
37,81929,392,Low,Occasional
32,47486,698,Medium,Occasional
32,33615,2115,Low,Frequent
30,55940,1529,Low,Frequent
34,43999,670,Low,Frequent
39,58729,1713,Low,Frequent
36,84748,1297,Medium,Rare
38,50853,2169,Medium,Frequent
36,59143,498,Medium,Occasional
38,61160,872,Low,Frequent
37,76968,808,Medium,Frequent
41,15062,50,Medium,Occasional
31,47865,1496,Medium,Occasional
30,64225,1461,Medium,Frequent
45,84001,1205,Medium,Frequent
34,50161,965,Low,Frequent
32,22468,50,Medium,Frequent
41,72394,779,Medium,Occasional
37,47292,857,Medium,Frequent
32,36206,398,Low,Frequent
30,47513,1039,Medium,Frequent
32,56309,1604,Medium,Rare
34,47905,3086,Medium,Rare
44,15888,1375,Medium,Frequent
43,77941,1458,Medium,Occasional
32,85497,1126,Low,Frequent
30,73030,50,Low,Frequent
34,37246,1173,Medium,Occasional
43,55970,1260,Medium,Rare
36,59869,3663,Medium,Rare
38,71975,1008,Medium,Occasional
44,73366,1502,Medium,Frequent
44,45316,1165,Medium,Occasional
39,61639,50,Medium,Frequent
42,69145,2343,Medium,Occasional
48,89116,1952,Medium,Frequent
36,74090,1991,Medium,Occasional
46,75781,291,Medium,Frequent
49,61676,2603,Medium,Frequent
33,88209,50,Medium,Rare
34,68195,1787,Medium,Frequent
36,42778,3390,Medium,Occasional
42,88067,209,Low,Frequent
44,73958,634,Low,Frequent
40,51139,1300,Medium,Frequent
33,50410,697,Medium,Frequent
42,65931,50,Medium,Occasional
36,69263,1269,Medium,Frequent
48,63945,138,Medium,Rare
31,66226,1674,Low,Occasional
39,93999,281,Medium,Frequent
42,81430,2750,Medium,Occasional
35,63812,417,Medium,Occasional
41,78826,878,Medium,Occasional
41,39349,2014,Medium,Frequent
49,67958,50,Medium,Frequent
40,96186,1427,Medium,Occasional
36,55639,2507,Medium,Rare
30,43047,50,Low,Occasional
30,46958,1385,Low,Frequent
49,38207,1460,Medium,Occasional
42,44304,1982,Medium,Frequent
38,52589,50,Medium,Frequent
32,31888,50,Low,Frequent
36,60312,1722,Medium,Occasional
35,78045,1497,Medium,Frequent
37,41844,1450,Medium,Frequent
38,90385,1546,Medium,Occasional
34,70215,520,Medium,Frequent
30,80611,1432,Medium,Frequent
48,46843,1493,Medium,Frequent
39,77090,486,Medium,Rare
41,38161,3066,Medium,Occasional
44,77804,1674,Low,Frequent
38,63436,50,Medium,Occasional
49,71065,1857,Medium,Occasional
46,36488,225,Medium,Frequent
46,42098,1987,Medium,Occasional
49,71944,2359,Medium,Occasional
41,41033,379,Medium,Occasional
36,69264,2163,Medium,Frequent
31,32657,1613,Low,Occasional
32,76963,2022,Medium,Occasional
46,35349,3097,Low,Frequent
34,71045,955,Medium,Frequent
46,72512,446,Medium,Frequent
46,46064,310,Low,Frequent
46,71640,384,Low,Occasional
31,65208,1123,Low,Frequent
31,49223,1541,Medium,Frequent
34,39828,1477,Medium,Occasional
30,20747,2027,Low,Frequent
30,66993,1213,Medium,Rare
48,28703,2654,Medium,Frequent
31,61906,935,Low,Frequent
41,54731,3920,Medium,Frequent
35,73582,1826,Medium,Frequent
33,53959,343,Medium,Frequent
40,53411,129,Low,Occasional
46,74637,1682,Low,Rare
35,66701,977,Low,Frequent
34,66323,1914,Medium,Occasional
49,69385,1673,Medium,Occasional
31,29288,1127,Low,Occasional
35,75135,353,Low,Frequent
40,72249,50,Low,Frequent
45,39666,753,Low,Frequent
45,55118,2056,Medium,Occasional
30,59213,1414,Medium,Occasional
38,57310,50,Medium,Frequent
35,66677,1373,Low,Frequent
45,88627,1585,Medium,Rare
32,81635,316,Medium,Occasional
49,33755,1354,Medium,Rare
33,72441,1258,Low,Occasional
48,86578,57,Medium,Frequent
38,67736,1558,Medium,Occasional
35,81819,1761,High,Occasional
27,100245,2283,High,Frequent
37,80474,2254,High,Occasional
42,64986,50,High,Occasional
37,80901,262,High,Frequent
39,62897,1715,Medium,Occasional
26,60478,1714,Medium,Occasional
22,52971,1715,High,Rare
37,91268,5000,Medium,Frequent
29,43631,1771,High,Frequent
26,90647,2336,High,Occasional
36,69997,2154,Medium,Frequent
33,32013,1851,Medium,Occasional
43,67352,885,High,Occasional
22,17999,1959,Medium,Frequent
31,72510,427,High,Occasional
32,77704,963,Medium,Occasional
21,48152,715,High,Frequent
22,62470,1282,Medium,Rare
24,99083,3515,High,Occasional
30,49885,50,Medium,Occasional
27,38821,1886,High,Occasional
42,89633,50,Medium,Frequent
42,99251,728,High,Rare
31,60073,2289,High,Occasional
26,80229,1264,Medium,Occasional
34,86829,122,Medium,Occasional
43,45150,485,Medium,Frequent
36,50293,1880,High,Occasional
23,84617,470,High,Frequent
41,93700,1416,High,Frequent
44,71257,1246,Medium,Frequent
32,42403,548,Medium,Rare
37,99741,3344,High,Occasional
20,49380,1834,Medium,Occasional
35,53297,50,High,Occasional
32,66846,1386,Medium,Occasional
29,91083,538,High,Rare
31,77079,2052,Medium,Frequent
21,68297,407,Medium,Frequent
42,69265,1085,High,Frequent
22,60870,1705,High,Occasional
29,71162,2066,High,Occasional
21,9408,50,Medium,Frequent
42,54067,865,Medium,Frequent
32,64826,725,High,Occasional
32,36979,547,High,Frequent
37,67726,2965,Medium,Occasional
22,55910,1605,Medium,Rare
26,95109,50,Medium,Frequent
33,91460,2118,High,Frequent
39,50683,3322,Medium,Occasional
36,56983,2232,Medium,Occasional
40,58521,50,Medium,Occasional
31,50966,716,Medium,Rare
44,63900,2467,Medium,Frequent
35,44834,492,High,Occasional
43,37387,1644,Medium,Occasional
31,72454,1975,High,Occasional
34,72590,273,Medium,Frequent
44,43913,1140,High,Occasional
29,77907,50,High,Occasional
44,47368,176,High,Frequent
26,65063,947,High,Frequent
39,76406,50,Medium,Occasional
24,59327,2832,Medium,Frequent
20,69094,50,High,Frequent
36,49671,760,High,Frequent
22,56070,1331,High,Occasional
32,55882,2641,High,Occasional
33,45068,50,High,Occasional
43,56464,2363,Medium,Frequent
37,29027,1210,Medium,Occasional
23,50176,218,High,Occasional
37,54302,1662,High,Occasional
24,54876,1399,Medium,Rare
44,55170,600,High,Frequent
35,58764,1270,Medium,Occasional
20,69588,815,High,Frequent
40,77490,1314,Medium,Occasional
33,47004,1862,Medium,Frequent
34,35935,2786,High,Frequent
28,39159,50,Medium,Frequent
34,50255,3333,High,Occasional
36,52961,50,High,Frequent
44,44600,1048,High,Occasional
43,34077,1788,Medium,Frequent
23,50877,1481,Medium,Frequent
31,63628,577,Medium,Occasional
24,71900,992,High,Frequent
24,48851,707,High,Frequent
30,51740,611,High,Occasional
25,41466,2050,High,Frequent
26,59371,1557,High,Frequent
43,43031,507,High,Frequent
33,71462,2100,Medium,Rare
43,24282,1507,High,Occasional
30,52807,2013,Medium,Occasional
32,66022,1830,High,Occasional
21,63676,371,High,Frequent
44,113860,640,High,Frequent
26,66996,1947,Medium,Occasional
39,39918,1810,Medium,Frequent
23,58090,1179,Medium,Frequent
27,24475,1317,Medium,Frequent
39,58388,2478,Medium,Frequent
41,43338,608,High,Rare
40,78307,1747,High,Frequent
38,49009,998,Medium,Occasional
32,57664,982,Medium,Frequent
33,47288,2299,Medium,Rare
29,94777,2025,High,Frequent
30,53575,2014,High,Frequent
21,96651,2505,High,Occasional
44,76283,1221,Medium,Occasional
28,69641,1882,High,Frequent
36,67374,890,High,Frequent
22,67875,1524,Medium,Frequent
43,21446,1070,High,Frequent
25,54422,1297,Medium,Frequent
24,76903,1795,High,Frequent
24,59022,382,Medium,Frequent
41,31896,3292,High,Frequent
34,58951,194,High,Occasional
42,94082,50,High,Rare
36,84937,2358,High,Occasional
28,58759,1992,Medium,Frequent
22,79028,1824,Medium,Frequent
39,52669,1828,Medium,Rare
36,25922,1188,Medium,Frequent
29,41510,303,High,Frequent
22,91257,1276,Medium,Occasional
37,54520,523,High,Occasional
37,55132,2175,High,Occasional
36,54003,1053,High,Frequent
43,98082,375,Medium,Frequent
22,92519,879,High,Rare
22,104375,1613,High,Frequent
25,56819,636,Medium,Occasional
32,65912,378,High,Occasional
43,29667,1444,High,Occasional
34,89538,1445,Medium,Frequent
44,36644,693,High,Frequent
28,64335,729,Medium,Occasional
23,38053,1432,Medium,Occasional
33,48222,50,Medium,Rare
24,43254,50,Medium,Frequent
21,47842,482,Medium,Frequent
30,49217,987,Medium,Rare
28,49034,1511,High,Occasional
43,76666,2675,High,Occasional
22,37902,2058,High,Frequent
28,64410,1040,Medium,Occasional
22,84359,1181,Medium,Occasional
44,49736,197,High,Occasional
21,45641,1181,Medium,Frequent
31,55389,911,Medium,Frequent
29,83594,1523,High,Occasional
28,63882,373,Medium,Frequent
34,49375,1719,High,Frequent
27,69677,2733,High,Rare
44,37954,1091,Medium,Frequent
24,73627,1602,Medium,Occasional
30,68172,1890,High,Frequent
21,53843,799,Medium,Occasional
43,43228,1424,Medium,Rare
34,42266,1213,High,Frequent
25,70696,1298,Medium,Frequent
27,84579,427,High,Frequent
24,47253,1225,High,Frequent
35,69167,1698,Medium,Occasional
37,18259,2651,Medium,Rare
25,48307,2159,Medium,Frequent
24,59378,3353,Medium,Frequent
35,41806,433,Medium,Frequent
32,41269,2072,High,Occasional
24,46644,1383,Medium,Frequent
32,65843,3390,High,Occasional
36,56253,392,High,Occasional
37,15235,360,High,Occasional
27,17585,601,High,Frequent
32,47862,50,Medium,Occasional
38,69153,674,High,Frequent
22,5049,441,High,Frequent
43,50005,1350,Medium,Occasional
27,49475,1542,Medium,Occasional
21,87766,3076,High,Frequent
27,52299,2150,Medium,Frequent
32,67659,623,Medium,Frequent
32,62825,302,Medium,Frequent
20,17388,1692,Medium,Frequent
25,75364,50,High,Frequent
43,64307,3031,High,Frequent
38,70165,2379,High,Occasional
35,138524,731,Medium,Occasional
27,18317,50,Medium,Occasional
20,94493,2554,Medium,Frequent
35,54251,1085,Medium,Rare
28,65746,2438,Medium,Occasional
57,59089,50,High,Occasional
42,51515,601,High,Occasional
52,48603,1205,High,Rare
35,66590,1247,High,Occasional
57,29656,750,High,Frequent
41,75011,1823,High,Occasional
30,51676,132,High,Occasional
28,37398,1058,High,Occasional
44,50999,1320,High,Occasional
51,85142,1714,High,Frequent
39,49293,1912,High,Frequent
30,67169,75,High,Rare
38,45380,50,High,Occasional
35,75158,2478,High,Occasional
33,73710,1532,High,Frequent
50,96972,452,High,Frequent
40,56488,2751,High,Occasional
29,73373,1316,High,Occasional
34,61961,2379,High,Occasional
27,85917,1268,High,Frequent
37,45623,3261,High,Occasional
54,74900,2955,High,Frequent
30,56106,951,High,Occasional
41,58716,2172,High,Frequent
43,61835,1845,High,Frequent
59,65044,2569,High,Occasional
50,57675,235,High,Rare
29,64294,1886,High,Frequent
53,91562,2258,High,Occasional
44,79708,50,High,Frequent
45,77383,50,High,Frequent
34,50889,50,High,Frequent
29,42215,931,High,Frequent
30,79106,1918,High,Occasional
50,77520,2702,High,Frequent
28,89453,1274,High,Frequent
59,47920,2829,High,Rare
25,55409,50,High,Frequent
48,27210,50,High,Occasional
30,52150,1144,High,Frequent
55,79931,1584,High,Occasional
44,50670,1167,High,Frequent
48,72809,50,High,Frequent
49,56189,1111,High,Frequent
45,66481,50,High,Frequent
54,37046,1870,High,Frequent
48,61704,1567,High,Occasional
54,5000,260,High,Occasional
46,56262,686,High,Occasional
52,27390,141,High,Occasional
31,84119,1137,High,Frequent
59,75548,2155,High,Frequent
52,69333,214,High,Frequent
38,90420,1704,High,Frequent
34,41021,670,High,Occasional
40,94947,407,High,Occasional
40,78643,1093,High,Frequent
55,55268,165,High,Frequent
49,82712,646,High,Occasional
37,37874,50,High,Occasional
30,43509,3165,High,Frequent
33,47828,1235,High,Rare
44,49420,500,High,Rare
42,38868,1414,High,Frequent
45,84461,1088,High,Frequent
28,54822,979,High,Occasional
57,67050,1814,High,Rare
51,48592,1958,High,Occasional
31,23587,669,High,Frequent
30,65401,624,High,Frequent
39,21754,925,High,Occasional
42,58627,50,High,Occasional
56,32633,50,High,Frequent
35,99745,2567,High,Occasional
44,78227,2845,High,Occasional
48,62115,951,High,Occasional
39,85274,1777,High,Occasional
31,43073,1511,High,Occasional
45,70869,4279,High,Frequent
50,63996,2320,High,Occasional
38,65280,1072,High,Frequent
45,85447,244,High,Occasional
42,74649,50,High,Frequent
29,65774,1403,High,Occasional
27,26902,444,High,Frequent
47,40799,50,High,Frequent
50,57545,553,High,Frequent
48,61867,118,High,Frequent
43,37395,2887,High,Occasional
49,108233,2082,High,Occasional
45,90327,1192,High,Occasional
36,72042,2680,High,Frequent
57,61440,1277,High,Frequent
28,55755,339,High,Frequent
31,40961,2723,High,Frequent
46,61549,1739,High,Occasional
57,65155,163,High,Frequent
41,35164,1010,High,Frequent
48,66683,324,High,Frequent
58,56894,50,High,Frequent
52,21843,2126,High,Occasional
46,42792,3109,High,Occasional
41,51727,50,High,Frequent
58,97753,1763,High,Frequent
30,71131,549,High,Frequent
30,33290,713,High,Frequent
58,69720,608,High,Frequent
25,29053,336,High,Rare
34,81653,1249,High,Occasional
45,50577,369,High,Occasional
29,58127,1470,High,Frequent
26,86515,1150,High,Frequent
46,34256,961,High,Occasional
26,32057,292,High,Occasional
34,48328,623,High,Occasional
58,80767,1955,High,Frequent
40,29613,1701,High,Occasional
46,5000,222,High,Frequent
36,50976,1299,High,Occasional
48,71034,1951,High,Occasional
34,84005,50,High,Occasional
59,50736,1743,High,Frequent
56,51771,537,High,Occasional
31,83078,1771,High,Frequent
45,22605,437,High,Frequent
44,52229,50,High,Frequent
50,63808,50,High,Occasional
28,68984,1248,High,Frequent
46,49803,1460,High,Frequent
39,60688,296,High,Occasional
45,10233,1839,High,Frequent
39,46835,50,High,Occasional
46,69070,1134,High,Frequent
52,40354,50,High,Frequent
38,61179,548,High,Occasional
51,68937,1247,High,Frequent
52,53149,340,High,Frequent
50,63409,815,High,Occasional
26,40745,2206,High,Occasional
49,55867,623,High,Occasional
27,72204,2036,High,Frequent
32,63139,70,High,Frequent
57,48269,1730,High,Occasional
59,64484,2642,High,Occasional
30,74292,50,High,Occasional
47,19001,403,High,Occasional
49,83181,1777,High,Occasional
43,53274,997,High,Frequent
29,68509,1571,High,Frequent
35,83944,596,High,Occasional
36,32566,1287,High,Frequent
34,45811,1044,High,Frequent
32,54229,2368,High,Occasional
48,44324,1454,High,Occasional
52,94698,1538,High,Frequent
45,42864,788,High,Frequent
32,48889,712,High,Frequent
33,64087,767,High,Occasional
39,35957,1594,High,Rare
42,52086,779,High,Frequent
44,66349,1490,High,Frequent
30,53342,3275,High,Occasional
36,58132,2071,High,Frequent
26,49413,874,High,Occasional
31,29710,2401,High,Rare
40,66431,792,High,Frequent
27,95098,50,High,Occasional
27,60368,192,High,Frequent
51,64505,50,High,Frequent
57,73854,848,High,Occasional
52,34613,1218,High,Frequent
25,94050,2876,High,Rare
32,64046,1527,High,Occasional
56,92637,981,High,Frequent
28,45339,2029,High,Frequent
54,96361,50,High,Frequent
30,75503,1436,High,Frequent
43,71060,1971,High,Frequent
56,64680,50,High,Frequent
33,55029,2344,High,Frequent
36,84010,1538,High,Occasional
35,62807,785,High,Occasional
40,20658,1833,High,Occasional
25,37656,3471,High,Frequent
45,56283,1382,High,Frequent
54,66199,1448,High,Occasional
37,58868,741,High,Frequent
58,84379,350,High,Frequent
28,20977,2030,High,Occasional
52,62871,344,High,Occasional
55,23640,1272,High,Occasional
51,75194,722,High,Frequent
29,58110,1679,High,Occasional
49,68392,1534,High,Occasional
27,42722,2238,High,Occasional
57,85589,690,High,Occasional
28,80834,930,High,Occasional
49,71670,221,High,Occasional
44,57409,756,High,Frequent
58,71597,1577,High,Occasional
32,45862,1957,Medium,Frequent
32,77111,278,High,Frequent
32,92989,2070,High,Occasional
30,81412,2556,Medium,Rare
39,45407,1613,Medium,Rare
41,67228,3077,Medium,Frequent
50,34137,426,Medium,Frequent
57,71447,50,High,Rare
40,69012,50,High,Occasional
37,22603,2696,Medium,Frequent
47,36764,1854,High,Occasional
33,54337,1144,Low,Frequent
36,53982,1480,Medium,Rare
31,35810,75,Low,Frequent
38,67779,3646,Medium,Occasional
36,65029,1329,High,Frequent
41,56114,1309,High,Frequent
32,44884,1926,High,Frequent
33,80974,1681,High,Occasional
39,93108,1424,Medium,Occasional
49,50328,410,Medium,Occasional
27,47756,1671,Medium,Rare
42,69824,3082,Medium,Frequent
40,52839,2545,High,Occasional
30,57212,2793,High,Frequent
40,74793,689,Low,Occasional
37,21812,210,Medium,Occasional
39,86366,1074,High,Frequent
44,61453,1256,High,Occasional
29,51770,2294,Low,Rare
26,58215,50,High,Frequent
45,59248,2730,High,Occasional
43,25375,1042,Low,Frequent
36,89898,773,High,Frequent
30,60826,188,High,Occasional
28,68860,50,High,Occasional
26,79030,2023,High,Frequent
44,39576,1273,Medium,Occasional
26,69469,50,High,Frequent
35,54647,50,Medium,Frequent
30,76935,864,Medium,Occasional
40,17455,2869,Medium,Occasional
19,58018,940,High,Frequent
42,47943,50,Medium,Occasional
37,68645,954,Medium,Frequent
42,69400,927,High,Frequent
19,45847,50,Medium,Occasional
32,45756,1146,High,Rare
22,57786,969,Medium,Occasional
35,42067,1896,Medium,Frequent
42,76839,3049,Medium,Rare
31,52615,2327,High,Occasional
25,5000,931,High,Frequent
38,52503,93,High,Occasional
36,39229,3773,Medium,Frequent
33,27374,1259,High,Frequent
33,35251,1214,Medium,Frequent
32,62188,1176,High,Occasional
24,86572,1398,High,Frequent
50,66263,1056,Medium,Frequent
29,47869,626,Medium,Frequent
43,69118,653,High,Frequent
29,50818,1167,Medium,Rare
38,46107,657,High,Occasional
45,36912,487,High,Occasional
42,24963,1306,High,Frequent
47,52201,945,Medium,Occasional
30,63161,2704,High,Occasional
20,58067,50,High,Occasional
30,51680,2292,High,Occasional
41,41085,2446,High,Occasional
35,72164,50,High,Rare
28,33657,857,High,Frequent
42,75520,829,High,Frequent
23,39955,50,High,Rare
29,44951,422,Low,Rare
29,30664,89,High,Occasional
29,49971,2952,Low,Occasional
36,79506,2136,High,Occasional
58,70312,2472,High,Frequent
40,79568,1922,Medium,Frequent
40,70442,71,Medium,Occasional
33,37926,675,Medium,Occasional
34,53384,1689,Medium,Frequent
35,44396,50,High,Occasional
44,86611,1913,High,Frequent
41,36064,960,Medium,Frequent
41,77873,825,High,Occasional
45,77859,1911,Medium,Occasional
40,96592,1644,Medium,Frequent
49,51806,839,High,Frequent
25,74246,2359,High,Occasional
19,105633,119,Medium,Frequent
34,47647,1816,High,Occasional
23,29299,1793,Medium,Frequent
31,22399,890,High,Occasional
53,74254,1526,High,Occasional
24,22336,50,High,Frequent
48,52553,2124,Medium,Frequent
34,68746,1015,Medium,Occasional
40,63703,677,Medium,Frequent
37,68508,2249,Medium,Occasional
31,64445,496,Medium,Occasional
45,85577,50,Low,Frequent
45,40953,50,High,Frequent
26,46460,1806,High,Occasional
55,44546,50,High,Frequent
44,76603,2955,Medium,Frequent
45,78007,50,High,Occasional
32,69024,2896,High,Rare
35,83669,1411,Medium,Rare
27,36439,1103,Medium,Occasional
38,93344,655,High,Frequent
15,90464,1599,Medium,Frequent
24,74712,1162,High,Frequent
37,95635,2303,Medium,Occasional
36,26867,1314,Medium,Occasional
47,49511,1350,High,Occasional
34,45293,836,High,Frequent
26,74429,1143,High,Frequent
17,38997,1508,Medium,Frequent
24,75149,50,High,Occasional
37,87410,50,Medium,Occasional
29,73904,1943,High,Frequent
27,65675,1371,High,Occasional
26,40242,1016,High,Frequent
44,43062,1218,Low,Frequent
27,84992,1548,High,Frequent
47,75586,660,Medium,Rare
44,59219,422,High,Frequent
53,51641,1396,Medium,Occasional
17,19483,222,High,Occasional
35,38582,1608,Medium,Occasional
38,98228,50,High,Frequent
34,34390,2229,High,Frequent
59,63789,1673,High,Frequent
35,80148,1456,Medium,Occasional
40,34901,2183,High,Frequent
21,63694,2865,Medium,Occasional
31,78758,2214,Medium,Frequent
34,60249,50,High,Frequent
20,117368,50,Medium,Frequent
60,26628,575,High,Frequent
25,81174,1226,High,Frequent
39,56543,1718,Low,Frequent
43,75438,474,High,Rare
18,68826,1387,High,Frequent
34,45336,445,High,Occasional
34,64579,588,High,Frequent
45,22841,50,Medium,Occasional
24,72064,277,High,Occasional
35,65963,50,High,Occasional
40,72773,224,High,Frequent
38,81162,2254,High,Frequent
39,67352,251,High,Rare
31,62961,3832,Medium,Rare
20,42378,1693,Medium,Frequent
43,45755,1385,High,Occasional
43,83734,342,Medium,Frequent
45,88726,1900,Medium,Rare
59,55237,624,High,Frequent
47,60920,1322,High,Frequent
27,41907,3760,High,Occasional
15,83455,1104,High,Frequent
42,73308,2349,High,Occasional
45,98824,497,Medium,Occasional
24,42433,1165,Medium,Occasional
45,52439,2971,Medium,Rare
32,64628,573,Medium,Frequent
42,72929,3012,Medium,Rare
47,55686,1908,Medium,Frequent
21,42540,638,Medium,Rare
42,77628,1832,High,Frequent
46,74422,2173,High,Rare
20,41674,1822,High,Frequent
50,87108,50,High,Rare
30,83403,473,Medium,Frequent
32,62685,952,Low,Rare
47,61591,1126,High,Frequent
29,71081,1821,High,Occasional
52,42765,1378,High,Occasional
26,60600,50,High,Frequent
45,16952,1580,Low,Rare
49,77529,1811,Medium,Frequent
59,28770,1760,High,Occasional
29,90068,2281,High,Frequent
20,53397,2034,High,Frequent
44,55766,1659,Medium,Rare
31,47445,1130,High,Frequent
32,54239,50,Low,Frequent
41,88370,1630,Medium,Occasional
36,10243,1408,Medium,Rare
45,85539,1472,Medium,Occasional
38,66760,50,High,Rare
39,35859,119,High,Frequent
16,38493,2253,Medium,Frequent
50,93527,1160,High,Rare
21,41089,1882,Medium,Occasional
32,36932,1228,High,Frequent
41,82746,1230,Medium,Frequent
35,66771,2138,Low,Frequent
47,41241,684,High,Occasional
37,64332,1296,High,Frequent
18,39484,738,High,Rare
60,82016,766,High,Frequent
36,81227,891,Medium,Frequent
31,70640,1422,High,Frequent
45,67233,721,High,Occasional
25,95223,2456,High,Occasional
30,59993,305,Low,Frequent
22,36362,1013,Medium,Occasional
21,68989,760,High,Rare
53,101720,2647,Medium,Frequent
34,39704,1397,Medium,Frequent
38,52770,2232,Medium,Occasional
48,68328,50,High,Frequent
48,58921,1467,Medium,Occasional
52,40353,2090,Medium,Occasional
43,82437,1282,Low,Rare
46,106400,2265,Medium,Frequent
49,63922,683,Medium,Frequent
29,41918,2609,Medium,Occasional
38,29020,3499,Medium,Occasional
35,65159,837,High,Occasional
36,82077,754,Medium,Occasional
33,69503,2653,Medium,Occasional
47,59951,2780,Medium,Frequent
34,48214,677,High,Frequent
22,38156,780,High,Frequent
56,76695,918,High,Frequent
31,78275,50,Low,Frequent
33,29085,281,Medium,Occasional
30,91796,196,Medium,Occasional
35,71481,432,Medium,Occasional
46,87991,1165,High,Occasional
51,33157,1434,High,Frequent
48,32683,2751,Medium,Frequent
30,57020,202,Medium,Frequent
21,70055,2184,High,Rare
48,95927,986,Medium,Occasional
48,74121,1151,Medium,Frequent
35,55146,1875,High,Frequent
21,39472,77,Medium,Frequent
25,84600,1582,Medium,Rare
58,40705,1366,High,Frequent
20,92569,1692,Medium,Frequent
42,54312,1489,Medium,Frequent
35,91811,3655,Low,Frequent
53,73578,562,High,Occasional
32,57260,669,Medium,Occasional
36,49612,577,High,Occasional
28,53181,645,High,Frequent
20,68566,563,Medium,Frequent
42,61543,2389,Low,Occasional
39,48123,2621,Medium,Frequent
38,56687,629,High,Occasional
30,61571,368,High,Frequent
35,17425,1671,High,Frequent
20,69163,648,High,Frequent
36,40405,1833,High,Frequent
46,36933,1403,Medium,Frequent
31,26253,50,High,Occasional
21,24122,2748,Medium,Rare
29,32891,2996,Medium,Frequent
39,45819,587,High,Frequent
55,99065,812,High,Frequent
57,49482,1486,High,Frequent
51,63555,1534,High,Occasional
49,68009,1859,Medium,Occasional
37,62621,3210,Medium,Frequent
28,58451,1023,High,Frequent
25,36094,402,Low,Occasional
45,89018,50,Low,Occasional
19,96143,469,Medium,Rare
39,26346,1167,Low,Frequent
37,39519,2995,High,Occasional
34,54403,682,Medium,Frequent
34,40709,1424,Medium,Rare
50,70119,1184,High,Frequent
41,45434,2388,Medium,Frequent
50,103301,3727,Medium,Occasional
24,83810,669,High,Frequent
20,64251,711,Medium,Frequent
58,80539,2244,High,Frequent
40,82118,1882,High,Frequent
38,48721,3047,Medium,Frequent
48,43675,1784,Medium,Frequent
42,61562,841,Medium,Frequent
43,77232,1791,Low,Frequent
39,62781,2309,Medium,Occasional
50,28460,2020,Medium,Frequent
35,43943,1707,Medium,Rare
28,58520,2267,Medium,Frequent
44,58486,2369,Low,Frequent
36,99450,2582,Medium,Frequent
43,32280,1849,High,Frequent
53,70111,1033,High,Occasional
23,89782,1347,Medium,Frequent
46,105428,2407,Medium,Frequent
46,51912,383,Medium,Frequent
46,69828,1569,High,Occasional
44,71395,807,Medium,Occasional
32,63909,1229,Low,Frequent
27,58023,2478,High,Frequent
